BFC (%),Temperature (°C),Predicted Strength (MPa)
0.0,200.0,5.338729582715667
0.02564102564102564,200.0,5.631285561712852
0.05128205128205128,200.0,5.910723713814896
0.07692307692307693,200.0,6.1770440390218
0.10256410256410256,200.0,6.430246537333564
0.1282051282051282,200.0,6.670331208750187
0.15384615384615385,200.0,6.89729805327167
0.1794871794871795,200.0,7.111147070898013
0.20512820512820512,200.0,7.3118782616292135
0.23076923076923075,200.0,7.499491625465274
0.2564102564102564,200.0,7.6739871624061955
0.28205128205128205,200.0,7.835364872451976
0.3076923076923077,200.0,7.983624755602615
0.3333333333333333,200.0,8.118766811858116
0.358974358974359,200.0,8.240791041218474
0.3846153846153846,200.0,8.349697443683691
0.41025641025641024,200.0,8.445486019253769
0.4358974358974359,200.0,8.528156767928706
0.4615384615384615,200.0,8.597709689708504
0.48717948717948717,200.0,8.65414478459316
0.5128205128205128,200.0,8.697462052582676
0.5384615384615384,200.0,8.72766149367705
0.5641025641025641,200.0,8.744743107876285
0.5897435897435898,200.0,8.74870689518038
0.6153846153846154,200.0,8.739552855589334
0.641025641025641,200.0,8.717280989103148
0.6666666666666666,200.0,8.68189129572182
0.6923076923076923,200.0,8.633383775445354
0.717948717948718,200.0,8.571758428273746
0.7435897435897436,200.0,8.497015254206996
0.7692307692307692,200.0,8.40915425324511
0.7948717948717948,200.0,8.308175425388079
0.8205128205128205,200.0,8.194078770635908
0.8461538461538461,200.0,8.066864288988597
0.8717948717948718,200.0,7.926531980446147
0.8974358974358974,200.0,7.773081845008557
0.923076923076923,200.0,7.6065138826758245
0.9487179487179487,200.0,7.426828093447953
0.9743589743589743,200.0,7.234024477324939
1.0,200.0,7.0281030343067865
0.0,220.51282051282053,5.244392740566531
0.02564102564102564,220.51282051282053,5.534166751375115
0.05128205128205128,220.51282051282053,5.8108229352885585
0.07692307692307693,220.51282051282053,6.074361292306862
0.10256410256410256,220.51282051282053,6.324781822430023
0.1282051282051282,220.51282051282053,6.562084525658046
